"","display_title","opening_date","publication_date","url","mpaa_rating","critics_pick","omdb.Awards","omdb.BoxOffice","omdb.Metascore","omdb.imdbRating"
"493","Whose Streets?","2017-08-11","2017-08-10","http://www.nytimes.com/2017/08/10/movies/whose-streets-review.html","R",0,"1 win & 16 nominations.","$180,214","81","4.9"
"494","Wilde Salom¨¦","2017-04-01","2018-03-29","http://www.nytimes.com/2018/03/29/movies/wilde-salome-review-al-pacino.html","R",1,"1 win & 1 nomination.","N/A","N/A","6.8"
"495","Wilson","2017-03-24","2017-03-22","http://www.nytimes.com/2017/03/22/movies/wilson-review-with-woody-harrelson.html","R",0,"1 nomination.","$652,997","49","5.8"
"496","Wind River","2017-08-04","2017-08-03","http://www.nytimes.com/2017/08/03/movies/wind-river-review-jeremy-renner-elizabeth-olsen.html","R",1,"8 wins & 18 nominations.","$33,782,714","73","7.8"
"497","Window Horses: The Poetic Persian Epiphany of Rosie Ming","2017-11-10","2017-11-09","http://www.nytimes.com/2017/11/09/movies/window-horses-review.html","",1,"10 wins & 10 nominations.","N/A","82","6.8"
"498","Wish Upon","2017-07-14","2017-07-13","http://www.nytimes.com/2017/07/13/movies/wish-upon-review.html","PG-13",0,"N/A","$14,301,001","32","5.1"
"499","Wolves","2017-03-03","2017-03-01","http://www.nytimes.com/2017/03/01/movies/wolves-review.html","",0,"N/A","N/A","37","5.3"
"500","Women Who Kill","2017-07-26","2017-07-25","http://www.nytimes.com/2017/07/25/movies/women-who-kill-review.html","",0,"N/A","N/A","N/A","5.6"
"501","Wonder","2017-11-17","2017-11-16","http://www.nytimes.com/2017/11/16/movies/wonder-review-jacob-tremblay-julia-roberts-owen-wilson.html","PG",1,"Nominated for 1 Oscar. Another 2 wins & 21 nominations.","$132,090,170","66","8.0"
"502","Wonder Wheel","2017-12-01","2017-11-30","http://www.nytimes.com/2017/11/30/movies/woody-allen-wonder-wheel-kate-winslet-review.html","PG-13",0,"3 wins & 4 nominations.","N/A","45","6.2"
"503","Wonder Woman","2017-06-02","2017-05-31","http://www.nytimes.com/2017/05/31/movies/wonder-woman-review-gal-gadot.html","PG-13",1,"17 wins & 54 nominations.","$412,400,625","76","7.5"
"504","Wonderstruck","2017-10-20","2017-10-19","http://www.nytimes.com/2017/10/19/movies/wonderstruck-review-todd-haynes.html","PG",1,"1 win & 27 nominations.","$976,561","71","6.2"
"505","Woodshock","2017-09-22","2017-09-19","http://www.nytimes.com/2017/09/19/movies/review-woodshock-grieving-among-the-redwoods.html","R",0,"N/A","$41,126","39","4.3"
"506","Year by the Sea","2017-09-08","2017-09-07","http://www.nytimes.com/2017/09/07/movies/year-by-the-sea-review.html","Not Rated",0,"18 wins & 2 nominations.","N/A","43","5.7"
"507","Your Name","2017-04-07","2017-04-06","http://www.nytimes.com/2017/04/06/movies/your-name-review.html","PG",1,"N/A","N/A","N/A","8.9"
